day	posts	likes	reactions	comments	shares
2018-10-31	1	22	22	0	1
2018-11-01	0	0	0	0	0
2018-11-02	1	139	159	18	9
2018-11-03	0	0	0	0	0
2018-11-04	0	0	0	0	0
2018-11-05	1	11	11	0	0
2018-11-06	1	106	121	8	7
2018-11-07	0	0	0	0	0
2018-11-08	1	29	30	1	7
2018-11-09	2	31	35	1	4
2018-11-10	2	73	79	5	12
2018-11-11	0	0	0	0	0
2018-11-12	0	0	0	0	0
2018-11-13	1	42	46	0	2
2018-11-14	2	50	52	1	5
2018-11-15	0	0	0	0	0
2018-11-16	0	0	0	0	0
2018-11-17	0	0	0	0	0
2018-11-18	0	0	0	0	0
2018-11-19	1	26	31	5	4
2018-11-20	0	0	0	0	0
2018-11-21	1	19	19	2	3
2018-11-22	1	67	71	4	14
2018-11-23	1	28	28	1	6
2018-11-24	0	0	0	0	0
2018-11-25	0	0	0	0	0
2018-11-26	0	0	0	0	0
2018-11-27	1	32	35	1	4
2018-11-28	0	0	0	0	0
2018-11-29	1	17	20	2	3
2018-11-30	1	212	257	80	19
2018-12-01	0	0	0	0	0
2018-12-02	0	0	0	0	0
2018-12-03	0	0	0	0	0
2018-12-04	1	8	8	2	1
2018-12-05	1	62	73	7	9
2018-12-06	1	43	46	5	10
2018-12-07	0	0	0	0	0
2018-12-08	0	0	0	0	0
2018-12-09	0	0	0	0	0
2018-12-10	1	38	41	3	7
2018-12-11	1	62	75	9	4
2018-12-12	1	35	36	5	3
2018-12-13	0	0	0	0	0
2018-12-14	1	74	82	5	7
2018-12-15	0	0	0	0	0
2018-12-16	0	0	0	0	0
2018-12-17	0	0	0	0	0
2018-12-18	1	42	43	5	4
2018-12-19	1	39	41	2	2
2018-12-20	1	53	65	1	11
2018-12-21	1	59	61	4	1
2018-12-22	0	0	0	0	0
