day	posts	likes	reactions	comments	shares
2018-03-31	0	0	0	0	0
2018-04-01	0	0	0	0	0
2018-04-02	0	0	0	0	0
2018-04-03	0	0	0	0	0
2018-04-04	0	0	0	0	0
2018-04-05	1	135	135	81	4
2018-04-06	0	0	0	0	0
2018-04-07	0	0	0	0	0
2018-04-08	0	0	0	0	0
2018-04-09	1	20	20	6	2
2018-04-10	1	9	9	1	0
2018-04-11	2	157	168	183	17
2018-04-12	1	5	5	0	1
2018-04-13	1	68	118	100	4
2018-04-14	0	0	0	0	0
2018-04-15	0	0	0	0	0
2018-04-16	0	0	0	0	0
2018-04-17	0	0	0	0	0
2018-04-18	1	13	16	4	0
2018-04-19	2	172	177	11	11
2018-04-20	1	77	84	193	8
2018-04-21	0	0	0	0	0
2018-04-22	1	57	59	1	0
2018-04-23	0	0	0	0	0
2018-04-24	0	0	0	0	0
2018-04-25	0	0	0	0	0
2018-04-26	1	40	42	1	1
2018-04-27	1	18	18	1	1
2018-04-28	0	0	0	0	0
2018-04-29	0	0	0	0	0
2018-04-30	1	23	23	5	2
2018-05-01	0	0	0	0	0
2018-05-02	0	0	0	0	0
2018-05-03	1	116	123	5	9
2018-05-04	0	0	0	0	0
2018-05-05	0	0	0	0	0
2018-05-06	0	0	0	0	0
2018-05-07	1	2	8	2	63
2018-05-08	1	8	8	3	6
2018-05-09	1	6	6	0	1
2018-05-10	0	0	0	0	0
2018-05-11	0	0	0	0	0
2018-05-12	0	0	0	0	0
2018-05-13	0	0	0	0	0
2018-05-14	1	2	2	0	1
2018-05-15	2	43	45	8	4
2018-05-16	0	0	0	0	0
2018-05-17	1	8	8	0	3
2018-05-18	0	0	0	0	0
2018-05-19	0	0	0	0	0
2018-05-20	0	0	0	0	0
2018-05-21	1	35	41	2	4
2018-05-22	2	16	17	10	0
2018-05-23	1	26	29	14	0
2018-05-24	2	23	23	2	1
2018-05-25	2	89	92	1	3
2018-05-26	0	0	0	0	0
2018-05-27	0	0	0	0	0
2018-05-28	1	66	78	1	8
2018-05-29	0	0	0	0	0
2018-05-30	1	11	18	0	4
2018-05-31	0	0	0	0	0
2018-06-01	2	240	270	33	27
2018-06-02	1	5	5	0	0
2018-06-03	0	0	0	0	0
2018-06-04	1	64	69	2	9
2018-06-05	2	39	45	2	8
2018-06-06	1	14	16	2	0
2018-06-07	0	0	0	0	0
2018-06-08	0	0	0	0	0
2018-06-09	0	0	0	0	0
2018-06-10	0	0	0	0	0
2018-06-11	0	0	0	0	0
2018-06-12	1	5	6	0	0
2018-06-13	1	12	12	2	1
2018-06-14	2	58	65	42	6
2018-06-15	0	0	0	0	0
2018-06-16	0	0	0	0	0
2018-06-17	0	0	0	0	0
2018-06-18	1	25	29	18	13
2018-06-19	0	0	0	0	0
2018-06-20	1	15	15	0	0
2018-06-21	1	25	26	14	10
2018-06-22	2	43	43	0	1
2018-06-23	0	0	0	0	0
2018-06-24	0	0	0	0	0
2018-06-25	0	0	0	0	0
2018-06-26	0	0	0	0	0
2018-06-27	0	0	0	0	0
2018-06-28	1	33	34	5	3
2018-06-29	0	0	0	0	0
2018-06-30	0	0	0	0	0
2018-07-01	0	0	0	0	0
2018-07-02	1	41	45	0	7
2018-07-03	0	0	0	0	0
2018-07-04	0	0	0	0	0
2018-07-05	0	0	0	0	0
2018-07-06	1	12	12	1	0
2018-07-07	0	0	0	0	0
2018-07-08	0	0	0	0	0
2018-07-09	0	0	0	0	0
2018-07-10	0	0	0	0	0
2018-07-11	2	73	106	67	18
2018-07-12	1	16	16	6	0
2018-07-13	0	0	0	0	0
2018-07-14	0	0	0	0	0
2018-07-15	0	0	0	0	0
2018-07-16	2	53	55	6	2
2018-07-17	1	13	13	4	0
2018-07-18	0	0	0	0	0
2018-07-19	0	0	0	0	0
2018-07-20	1	48	49	4	2
2018-07-21	0	0	0	0	0
2018-07-22	0	0	0	0	0
2018-07-23	2	45	54	4	3
2018-07-24	0	0	0	0	0
2018-07-25	0	0	0	0	0
2018-07-26	1	31	33	4	1
2018-07-27	0	0	0	0	0
2018-07-28	0	0	0	0	0
2018-07-29	0	0	0	0	0
2018-07-30	0	0	0	0	0
2018-07-31	1	12	12	1	3
2018-08-01	0	0	0	0	0
2018-08-02	1	178	202	9	4
2018-08-03	0	0	0	0	0
2018-08-04	0	0	0	0	0
2018-08-05	0	0	0	0	0
2018-08-06	0	0	0	0	0
2018-08-07	0	0	0	0	0
2018-08-08	1	17	19	0	0
2018-08-09	0	0	0	0	0
2018-08-10	0	0	0	0	0
2018-08-11	0	0	0	0	0
2018-08-12	0	0	0	0	0
2018-08-13	0	0	0	0	0
2018-08-14	1	22	22	1	0
2018-08-15	0	0	0	0	0
2018-08-16	1	78	80	4	0
2018-08-17	0	0	0	0	0
2018-08-18	1	58	63	4	0
2018-08-19	0	0	0	0	0
2018-08-20	2	57	59	5	5
2018-08-21	1	26	26	1	0
2018-08-22	1	33	37	0	0
2018-08-23	0	0	0	0	0
2018-08-24	0	0	0	0	0
2018-08-25	0	0	0	0	0
2018-08-26	0	0	0	0	0
2018-08-27	1	31	31	3	2
2018-08-28	0	0	0	0	0
2018-08-29	0	0	0	0	0
2018-08-30	1	44	49	17	4
2018-08-31	0	0	0	0	0
2018-09-01	0	0	0	0	0
2018-09-02	1	26	33	53	2
2018-09-03	0	0	0	0	0
2018-09-04	2	45	45	0	1
2018-09-05	0	0	0	0	0
2018-09-06	0	0	0	0	0
2018-09-07	0	0	0	0	0
2018-09-08	0	0	0	0	0
2018-09-09	0	0	0	0	0
2018-09-10	2	80	87	20	5
2018-09-11	0	0	0	0	0
2018-09-12	1	41	44	0	1
2018-09-13	0	0	0	0	0
2018-09-14	0	0	0	0	0
2018-09-15	0	0	0	0	0
2018-09-16	0	0	0	0	0
2018-09-17	1	9	9	3	1
2018-09-18	0	0	0	0	0
2018-09-19	0	0	0	0	0
2018-09-20	0	0	0	0	0
2018-09-21	1	15	15	2	2
2018-09-22	0	0	0	0	0
2018-09-23	0	0	0	0	0
2018-09-24	0	0	0	0	0
2018-09-25	0	0	0	0	0
2018-09-26	1	13	13	1	1
2018-09-27	0	0	0	0	0
2018-09-28	0	0	0	0	0
2018-09-29	0	0	0	0	0
2018-09-30	0	0	0	0	0
2018-10-01	0	0	0	0	0
2018-10-02	0	0	0	0	0
2018-10-03	1	15	16	1	0
2018-10-04	2	7	7	3	3
2018-10-05	0	0	0	0	0
2018-10-06	1	24	24	7	2
2018-10-07	2	79	80	12	9
2018-10-08	1	72	72	11	9
2018-10-09	0	0	0	0	0
2018-10-10	0	0	0	0	0
2018-10-11	1	4	4	1	3
2018-10-12	2	42	45	9	6
2018-10-13	0	0	0	0	0
2018-10-14	0	0	0	0	0
2018-10-15	0	0	0	0	0
2018-10-16	0	0	0	0	0
2018-10-17	1	7	7	4	1
2018-10-18	0	0	0	0	0
2018-10-19	1	9	9	0	1
2018-10-20	0	0	0	0	0
2018-10-21	0	0	0	0	0
2018-10-22	0	0	0	0	0
2018-10-23	0	0	0	0	0
2018-10-24	0	0	0	0	0
2018-10-25	1	15	16	6	2
2018-10-26	0	0	0	0	0
2018-10-27	0	0	0	0	0
2018-10-28	0	0	0	0	0
2018-10-29	0	0	0	0	0
2018-10-30	0	0	0	0	0
2018-10-31	1	16	17	3	0
2018-11-01	0	0	0	0	0
2018-11-02	0	0	0	0	0
2018-11-03	1	20	21	1	0
2018-11-04	0	0	0	0	0
2018-11-05	0	0	0	0	0
2018-11-06	0	0	0	0	0
2018-11-07	0	0	0	0	0
2018-11-08	1	14	15	1	2
2018-11-09	0	0	0	0	0
2018-11-10	0	0	0	0	0
2018-11-11	0	0	0	0	0
2018-11-12	1	9	9	1	0
2018-11-13	0	0	0	0	0
2018-11-14	0	0	0	0	0
2018-11-15	1	265	279	326	9
2018-11-16	2	72	76	8	0
2018-11-17	0	0	0	0	0
2018-11-18	0	0	0	0	0
2018-11-19	1	23	25	3	11
2018-11-20	0	0	0	0	0
2018-11-21	1	8	8	2	0
2018-11-22	1	4	4	0	1
2018-11-23	0	0	0	0	0
2018-11-24	0	0	0	0	0
2018-11-25	0	0	0	0	0
2018-11-26	1	9	14	20	0
2018-11-27	1	2	2	0	2
2018-11-28	1	32	36	1	0
2018-11-29	2	11	11	15	2
2018-11-30	1	10	10	0	0
2018-12-01	0	0	0	0	0
2018-12-02	0	0	0	0	0
2018-12-03	0	0	0	0	0
2018-12-04	0	0	0	0	0
2018-12-05	1	15	15	0	0
2018-12-06	1	27	27	4	1
2018-12-07	1	33	36	13	0
2018-12-08	0	0	0	0	0
2018-12-09	0	0	0	0	0
2018-12-10	0	0	0	0	0
2018-12-11	2	86	88	54	7
2018-12-12	2	11	11	0	1
2018-12-13	1	9	9	0	1
2018-12-14	0	0	0	0	0
2018-12-15	1	19	21	0	1
2018-12-16	1	11	13	2	0
2018-12-17	0	0	0	0	0
2018-12-18	2	38	41	0	0
2018-12-19	1	10	11	28	0
2018-12-20	1	9	10	0	1
2018-12-21	1	58	62	3	3
2018-12-22	1	9	10	1	2
2018-12-23	1	2	2	0	1
2018-12-24	0	0	0	0	0
2018-12-25	2	32	34	3	0
2018-12-26	1	8	9	6	1
2018-12-27	0	0	0	0	0
2018-12-28	1	8	9	1	0
2018-12-29	2	11	11	4	0
2018-12-30	1	10	10	2	2
2018-12-31	1	10	10	1	0
