day	posts	likes	reactions	comments	shares
2018-11-08	1	7	10	2	0
2018-11-09	1	136	144	70	4
2018-11-10	1	92	100	15	18
2018-11-11	1	68	71	3	3
2018-11-12	0	0	0	0	0
2018-11-13	2	49	51	12	2
2018-11-14	1	52	53	4	0
2018-11-15	2	21	21	3	8
2018-11-16	0	0	0	0	0
2018-11-17	0	0	0	0	0
2018-11-18	1	8	8	2	2
2018-11-19	1	17	29	3	8
2018-11-20	1	245	284	31	24
2018-11-21	1	9	9	6	3
2018-11-22	1	71	76	21	3
2018-11-23	1	262	297	162	18
2018-11-24	0	0	0	0	0
2018-11-25	1	11	11	3	0
2018-11-26	2	204	248	51	7
2018-11-27	1	409	449	36	31
2018-11-28	1	77	85	21	19
2018-11-29	1	71	73	140	0
2018-11-30	1	4	4	0	2
2018-12-01	0	0	0	0	0
2018-12-02	0	0	0	0	0
2018-12-03	2	195	208	8	11
2018-12-04	1	21	25	3	3
2018-12-05	2	228	243	13	3
2018-12-06	2	87	103	11	20
2018-12-07	0	0	0	0	0
2018-12-08	0	0	0	0	0
2018-12-09	0	0	0	0	0
2018-12-10	2	40	47	12	15
2018-12-11	1	29	31	2	4
2018-12-12	1	17	17	4	4
2018-12-13	0	0	0	0	0
2018-12-14	1	44	45	0	1
2018-12-15	1	35	35	0	0
2018-12-16	2	340	383	13	26
2018-12-17	0	0	0	0	0
2018-12-18	2	156	173	5	11
2018-12-19	1	30	32	0	1
2018-12-20	2	57	70	8	15
2018-12-21	0	0	0	0	0
2018-12-22	1	169	185	12	4
2018-12-23	1	15	15	1	2
2018-12-24	1	138	162	8	15
2018-12-25	1	27	27	0	1
2018-12-26	0	0	0	0	0
2018-12-27	1	93	115	1	6
2018-12-28	1	22	24	4	3
2018-12-29	1	3	3	0	0
2018-12-30	1	15	17	6	2
2018-12-31	0	0	0	0	0
2019-01-01	1	243	266	1	5
2019-01-02	0	0	0	0	0
