day	posts	likes	reactions	comments	shares
2018-09-25	3	12	13	1	2
2018-09-26	2	94	97	1	10
2018-09-27	2	53	55	4	6
2018-09-28	1	6	6	0	3
2018-09-29	3	62	66	2	4
2018-09-30	2	8	8	0	2
2018-10-01	3	32	33	0	7
2018-10-02	3	17	18	0	0
2018-10-03	2	46	48	2	18
2018-10-04	1	14	14	0	3
2018-10-05	2	15	15	1	1
2018-10-06	1	8	8	0	1
2018-10-07	2	14	14	2	9
2018-10-08	1	3	3	0	0
2018-10-09	2	21	21	0	2
2018-10-10	1	45	45	5	3
2018-10-11	1	24	24	1	2
2018-10-12	1	7	8	1	0
2018-10-13	0	0	0	0	0
2018-10-14	1	3	3	1	1
2018-10-15	2	18	18	0	3
2018-10-16	1	86	97	19	30
2018-10-17	1	16	16	0	1
2018-10-18	2	30	30	2	6
2018-10-19	2	88	94	10	17
2018-10-20	0	0	0	0	0
2018-10-21	1	42	51	2	14
2018-10-22	1	10	10	1	0
2018-10-23	2	94	97	11	16
2018-10-24	0	0	0	0	0
2018-10-25	1	4	4	2	2
2018-10-26	3	65	65	2	11
2018-10-27	1	21	22	3	6
2018-10-28	1	20	20	3	4
2018-10-29	2	30	30	5	4
2018-10-30	2	34	34	1	6
2018-10-31	5	86	89	18	12
2018-11-01	1	49	50	0	4
2018-11-02	2	51	55	1	7
2018-11-03	1	14	14	0	1
2018-11-04	1	25	25	1	0
2018-11-05	3	78	79	6	18
2018-11-06	3	18	19	0	6
2018-11-07	3	73	77	10	38
2018-11-08	2	12	12	2	2
2018-11-09	4	55	58	9	14
2018-11-10	1	6	6	0	2
2018-11-11	2	23	24	6	3
2018-11-12	1	9	10	0	9
2018-11-13	1	29	30	4	0
2018-11-14	2	34	45	3	19
2018-11-15	4	276	307	7	53
2018-11-16	3	151	154	21	31
2018-11-17	3	65	74	8	13
2018-11-18	4	61	64	2	25
2018-11-19	2	15	15	3	2
2018-11-20	2	26	26	0	2
2018-11-21	3	121	128	5	15
2018-11-22	3	49	49	3	5
2018-11-23	4	83	95	5	0
2018-11-24	3	21	24	1	8
2018-11-25	2	40	41	0	6
2018-11-26	3	20	20	0	18
2018-11-27	4	89	95	2	31
2018-11-28	4	60	66	4	14
2018-11-29	4	46	47	3	8
2018-11-30	3	84	86	1	5
2018-12-01	2	22	22	1	5
2018-12-02	2	28	28	2	4
2018-12-03	2	34	34	0	6
2018-12-04	2	12	14	0	1
2018-12-05	2	31	32	0	7
2018-12-06	0	0	0	0	0
2018-12-07	1	6	6	0	2
2018-12-08	1	4	4	2	1
2018-12-09	0	0	0	0	0
2018-12-10	1	16	18	1	1
2018-12-11	1	61	64	3	2
2018-12-12	1	3	3	0	2
2018-12-13	0	0	0	0	0
2018-12-14	2	40	40	2	4
2018-12-15	1	2	2	0	0
2018-12-16	0	0	0	0	0
2018-12-17	0	0	0	0	0
2018-12-18	1	8	8	1	1
2018-12-19	3	94	97	0	12
2018-12-20	2	75	80	5	12
2018-12-21	3	107	122	10	42
2018-12-22	1	27	27	4	14
2018-12-23	0	0	0	0	0
2018-12-24	1	11	11	0	0
2018-12-25	1	16	18	0	0
2018-12-26	1	15	15	0	2
2018-12-27	0	0	0	0	0
2018-12-28	1	11	11	1	1
2018-12-29	1	15	16	0	3
2018-12-30	0	0	0	0	0
2018-12-31	0	0	0	0	0
2019-01-01	1	8	8	0	0
2019-01-02	0	0	0	0	0
